City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Magesti,RO,2021-09-16 01:37:58,47.0167,22.45,61.23,54,38,5.32
225,Durant,US,2021-09-16 01:37:58,33.994,-96.3708,81.48,64,1,0.0
226,Port Elizabeth,ZA,2021-09-16 01:35:49,-33.918,25.5701,55.69,82,0,12.66
227,Tezu,IN,2021-09-16 01:37:59,27.9167,96.1667,79.38,77,100,1.25
228,Ahipara,NZ,2021-09-16 01:36:53,-35.1667,173.1667,61.99,90,45,14.12
229,Minna,NG,2021-09-16 01:37:59,9.6139,6.5569,73.26,94,97,1.74
230,Tevaitoa,PF,2021-09-16 01:37:59,-16.7833,-151.5,78.94,73,3,17.34
231,Jijiga,ET,2021-09-16 01:37:59,9.35,42.8,63.0,83,100,5.37
232,Nome,US,2021-09-16 01:33:18,64.5011,-165.4064,49.15,87,90,5.75
233,Severo-Kurilsk,RU,2021-09-16 01:36:09,50.6789,156.125,53.35,74,2,10.29
234,Provideniya,RU,2021-09-16 01:38:00,64.3833,-173.3,41.11,65,75,11.18
235,Hasaki,JP,2021-09-16 01:36:11,35.7333,140.8333,77.4,72,24,19.01
236,Dukat,RU,2021-09-16 01:38:00,62.55,155.55,50.74,57,67,5.55
237,Chicama,PE,2021-09-16 01:38:00,-7.8447,-79.1469,57.74,82,98,8.01
238,Inverell,AU,2021-09-16 01:34:10,-29.7833,151.1167,65.39,31,0,4.38
239,Haines Junction,CA,2021-09-16 01:38:00,60.7522,-137.5108,51.75,43,99,8.05
240,Sabang,ID,2021-09-16 01:38:01,5.8933,95.3214,81.73,71,100,5.17
241,Henties Bay,NA,2021-09-16 01:38:01,-22.116,14.2845,48.85,90,2,11.3
242,Husavik,IS,2021-09-16 01:38:01,66.0449,-17.3389,42.71,75,99,10.04
243,Baruun-Urt,MN,2021-09-16 01:38:01,46.6806,113.2792,61.74,49,0,8.97
244,Richards Bay,ZA,2021-09-16 01:38:02,-28.783,32.0377,65.89,82,100,7.61
245,Maragogi,BR,2021-09-16 01:38:02,-9.0122,-35.2225,76.62,80,100,7.74
246,Los Llanos De Aridane,ES,2021-09-16 01:37:01,28.6585,-17.9182,71.35,75,20,13.8
247,Port Alfred,ZA,2021-09-16 01:36:24,-33.5906,26.891,57.34,78,52,9.82
248,Charters Towers,AU,2021-09-16 01:38:02,-20.1,146.2667,81.68,20,0,9.13
249,Xining,CN,2021-09-16 01:38:02,36.6167,101.7667,55.38,74,9,2.37
250,Laguna,US,2021-09-16 01:38:03,38.421,-121.4238,90.1,39,1,11.5
251,Moron,AR,2021-09-16 01:38:03,-34.6534,-58.6198,60.91,53,0,1.01
252,Mount Isa,AU,2021-09-16 01:38:03,-20.7333,139.5,89.37,13,3,16.11
253,San Quintin,MX,2021-09-16 01:38:03,30.4833,-115.95,69.48,76,0,13.8
254,Riberalta,BO,2021-09-16 01:38:04,-10.9833,-66.1,74.88,83,21,2.91
255,Severo-Yeniseyskiy,RU,2021-09-16 01:38:04,60.3725,93.0408,36.48,93,100,1.5
256,Bilibino,RU,2021-09-16 01:38:04,68.0546,166.4372,31.3,81,100,6.89
257,San Pedro,PH,2021-09-16 01:38:04,14.35,121.0167,87.35,72,20,5.75
258,Blackwater,AU,2021-09-16 01:33:59,-23.5833,148.8833,77.38,19,0,2.95
259,Faanui,PF,2021-09-16 01:38:05,-16.4833,-151.75,79.32,71,4,18.12
260,Coruripe,BR,2021-09-16 01:38:05,-10.1256,-36.1756,74.05,81,12,7.27
261,Myre,NO,2021-09-16 01:38:05,69.1036,15.9492,41.41,64,100,10.0
262,Mandasa,IN,2021-09-16 01:38:05,18.8667,84.4667,83.25,78,100,2.84
263,Coquimbo,CL,2021-09-16 01:33:16,-29.9533,-71.3436,55.13,82,0,3.44
264,Kedrovyy,RU,2021-09-16 01:38:06,56.1667,91.8167,43.21,97,100,2.39
265,Seymchan,RU,2021-09-16 01:38:06,62.8833,152.4333,57.83,52,33,7.45
266,Hambantota,LK,2021-09-16 01:35:32,6.1241,81.1185,79.14,100,20,5.75
267,Havelock,US,2021-09-16 01:37:29,34.8791,-76.9013,80.94,90,1,3.44
268,Wajima,JP,2021-09-16 01:38:06,37.4,136.9,75.88,78,75,5.75
269,East London,ZA,2021-09-16 01:38:06,-33.0153,27.9116,59.09,71,98,13.06
270,Faya,SA,2021-09-16 01:38:07,18.3851,42.4509,68.11,50,8,4.36
271,Parrita,CR,2021-09-16 01:38:07,9.5201,-84.3225,82.98,87,100,0.92
272,Pacific Grove,US,2021-09-16 01:36:08,36.6177,-121.9166,71.15,83,1,3.0
273,Laela,TZ,2021-09-16 01:38:07,-8.5667,32.05,63.18,62,10,0.38
274,Dipalpur,PK,2021-09-16 01:38:08,30.6709,73.6529,84.94,63,0,5.79
275,Kysyl-Syr,RU,2021-09-16 01:38:08,63.8986,122.7617,43.99,76,100,5.86
276,Luderitz,NA,2021-09-16 01:38:08,-26.6481,15.1594,51.3,69,0,19.04
277,Saint-Leu,RE,2021-09-16 01:38:09,-21.15,55.2833,67.06,75,20,0.85
278,Niteroi,BR,2021-09-16 01:38:10,-22.8833,-43.1036,76.66,84,75,10.36
279,Yatou,CN,2021-09-16 01:38:10,37.15,122.3833,75.18,69,95,8.37
280,Nagato,JP,2021-09-16 01:38:10,34.3833,131.2,76.95,70,98,5.66
281,Nanortalik,GL,2021-09-16 01:38:10,60.1432,-45.2371,38.61,78,2,7.83
282,Del Rio,US,2021-09-16 01:35:41,29.3627,-100.8968,93.31,35,1,3.44
283,Puerto Ayacucho,VE,2021-09-16 01:38:11,5.6639,-67.6236,73.83,94,92,3.65
284,Grandview,US,2021-09-16 01:38:11,38.8858,-94.533,74.95,69,1,3.44
285,Takoradi,GH,2021-09-16 01:38:11,4.8845,-1.7554,74.03,94,95,6.89
286,Carballo,ES,2021-09-16 01:38:11,43.213,-8.691,62.87,89,53,4.59
287,Impfondo,CG,2021-09-16 01:38:12,1.6381,18.0667,70.2,87,98,3.04
288,Alice Springs,AU,2021-09-16 01:38:12,-23.7,133.8833,92.75,12,5,17.27
289,Cururupu,BR,2021-09-16 01:35:08,-1.8283,-44.8683,74.32,98,11,2.13
290,Batemans Bay,AU,2021-09-16 01:38:12,-35.7167,150.1833,65.19,52,14,7.56
291,Banos,EC,2021-09-16 01:38:12,-1.4,-78.4167,54.1,95,85,1.79
292,Yaring,TH,2021-09-16 01:38:13,6.8662,101.3689,78.84,87,100,5.68
293,Boende,CD,2021-09-16 01:38:13,-0.2167,20.8667,72.0,86,100,2.26
