City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Lesogorskiy,RU,61.0455,28.9294,41.56,87,35,4.92,scattered clouds
273,Matara,LK,5.9485,80.5353,80.92,82,89,8.77,overcast clouds
274,Nelson Bay,AU,-32.7167,152.15,71.29,59,0,1.99,clear sky
275,Nouadhibou,MR,20.931,-17.0347,75.18,78,0,19.57,clear sky
276,Gat,IL,31.61,34.7642,72.28,72,0,1.28,clear sky
277,Banda Aceh,ID,5.5577,95.3222,82.67,68,77,2.46,broken clouds
278,La Peca,PE,-5.6111,-78.435,66.65,86,77,1.83,light rain
279,Manadhoo,MV,5.7667,73.3833,82.45,77,94,13.73,overcast clouds
280,Katsuura,JP,35.1333,140.3,73.44,71,100,10.13,overcast clouds
281,La Palma,US,33.8464,-118.0467,79.95,70,1,5.99,clear sky
282,Rutul,RU,41.5357,47.4239,56.3,93,68,3.02,broken clouds
283,Halifax,CA,44.6453,-63.5724,62.65,85,64,3.44,broken clouds
284,Asau,RO,46.4333,26.4,65.75,82,99,5.03,overcast clouds
285,Mao,ES,39.8885,4.2658,72.16,83,0,4.61,clear sky
286,Chino Valley,US,34.7575,-112.4538,82.71,26,1,1.01,clear sky
287,Redcliffe,AU,-27.2307,153.0973,77.05,52,20,9.22,few clouds
288,Quatre Cocos,MU,-20.2078,57.7625,69.91,83,45,4.63,scattered clouds
289,Jiuquan,CN,39.7432,98.5174,72.54,24,1,2.73,clear sky
290,Beterou,BJ,9.1992,2.2586,70.92,97,100,8.52,moderate rain
291,Iquique,CL,-20.2208,-70.1431,59.04,74,55,3.06,broken clouds
292,Tivoli,IT,41.9609,12.7989,74.68,77,100,5.97,light rain
293,Chakia,IN,26.4167,85.05,77.97,93,98,9.71,moderate rain
294,Sarh,TD,9.1429,18.3923,73.31,88,20,11.5,thunderstorm
295,Ukiah,US,39.1502,-123.2078,79.65,54,0,4.29,clear sky
296,Aksu,CN,41.1231,80.2644,70.39,35,0,1.61,clear sky
297,Taunggyi,MM,20.7833,97.0333,65.34,95,100,3.53,overcast clouds
298,Dalvik,IS,65.9702,-18.5286,48.13,89,100,3.62,overcast clouds
299,Houma,US,29.5958,-90.7195,82.4,91,10,7.85,clear sky
300,Kruisfontein,ZA,-34.0033,24.7314,49.89,74,53,8.19,light rain
301,Vanimo,PG,-2.6741,141.3028,86.16,62,34,8.66,scattered clouds
302,Nyergesujfalu,HU,47.7603,18.5569,69.1,89,100,3.0,overcast clouds
303,Namatanai,PG,-3.6667,152.4333,84.29,68,45,5.26,light rain
304,Ostrovnoy,RU,68.0531,39.5131,42.94,78,81,10.85,broken clouds
305,Stromness,GB,58.965,-3.296,57.45,90,100,11.01,overcast clouds
306,Luanda,AO,-8.8368,13.2343,71.6,88,75,8.05,broken clouds
307,Amurzet,RU,47.6967,131.0981,68.02,56,6,8.52,clear sky
308,Hit,IQ,33.6416,42.8251,80.56,37,0,8.72,clear sky
309,Cockburn Town,TC,21.4612,-71.1419,83.23,80,100,17.56,overcast clouds
310,Altukhovo,RU,52.67,34.36,35.87,79,99,3.6,overcast clouds
311,Lagoa,PT,39.05,-27.9833,69.8,87,84,16.53,broken clouds
312,Oranjemund,NA,-28.55,16.4333,55.38,58,10,12.68,clear sky
313,Xingyi,CN,24.1877,102.817,67.46,77,100,3.62,overcast clouds
314,Ust-Kuyga,RU,70.0167,135.6,42.01,86,100,6.26,overcast clouds
315,Batagay,RU,67.6333,134.6333,50.07,64,100,2.48,overcast clouds
316,Margate,GB,51.3813,1.3862,58.69,90,29,9.69,scattered clouds
317,Port Augusta,AU,-32.5,137.7667,73.54,31,100,4.52,overcast clouds
318,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.2,100,1,5.75,clear sky
319,Totton,GB,50.9188,-1.4904,58.98,90,100,5.35,overcast clouds
320,Meulaboh,ID,4.1363,96.1285,80.89,73,89,3.18,overcast clouds
321,Tezu,IN,27.9167,96.1667,75.67,89,100,2.53,moderate rain
322,Tessalit,ML,20.1986,1.0114,85.86,38,6,10.18,clear sky
323,Vostok,RU,46.4856,135.8833,52.61,94,100,3.0,overcast clouds
324,Gazanjyk,TM,39.2446,55.5154,72.12,66,0,4.72,clear sky
325,Suntar,RU,62.1444,117.6319,48.15,58,95,8.03,overcast clouds
326,Tuatapere,NZ,-46.1333,167.6833,46.81,53,93,4.63,overcast clouds
327,Lavrentiya,RU,65.5833,-171.0,37.69,61,100,3.27,overcast clouds
328,Ahipara,NZ,-35.1667,173.1667,57.04,80,99,14.7,overcast clouds
329,Peace River,CA,56.2501,-117.286,53.91,54,75,17.27,shower rain
330,Bubaque,GW,11.2833,-15.8333,79.43,79,94,6.15,moderate rain
331,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,75,75,12.66,broken clouds
332,Poum,NC,-20.2333,164.0167,71.01,55,0,18.95,clear sky
333,Yumen,CN,40.2833,97.2,71.69,24,2,0.43,clear sky
334,Plainview,US,40.7765,-73.4673,73.49,88,90,1.99,overcast clouds
335,Mandalgovi,MN,45.7625,106.2708,65.48,22,11,7.0,few clouds
336,Hervey Bay,AU,-25.2986,152.8535,71.71,59,44,5.48,scattered clouds
337,Nosy Varika,MG,-20.5833,48.5333,66.22,91,10,8.01,clear sky
338,Kununurra,AU,-15.7667,128.7333,91.38,38,5,6.91,clear sky
339,Grindavik,IS,63.8424,-22.4338,48.15,87,75,20.71,broken clouds
340,Colares,PT,38.7992,-9.4469,67.28,76,0,16.64,clear sky
341,Soller,ES,39.7662,2.7152,72.86,82,0,3.69,clear sky
342,Qaqortoq,GL,60.7167,-46.0333,37.9,72,97,6.58,overcast clouds
343,Tsiroanomandidy,MG,-18.7667,46.0333,63.01,79,46,1.79,scattered clouds
344,Macau,MO,22.2006,113.5461,88.81,79,0,6.91,light rain
345,Omboue,GA,-1.5746,9.2618,76.12,83,97,6.67,overcast clouds
